new_words,seconds_trans,arousal_trans,valence_trans,happy_trans,angry_trans,nervous_trans,sad_trans,seconds2_trans,arousal2_trans,valence2_trans,happy2_trans,angry2_trans,nervous2_trans,sad2_trans
integrate say previous,515.0,3.0,3.0,1.0,1.333,2.0,1.0,515.0,2.667,2.333,1.0,1.667,1.0,1.0
I tried to and try to put interested,520.0,3.0,2.667,1.0,1.333,2.333,1.0,520.0,2.667,2.333,1.0,1.667,1.0,1.0
in other and Global struggles and too,525.0,3.0,2.667,1.0,1.333,2.333,1.0,525.0,2.667,2.333,1.0,1.667,1.0,1.0
and recording,530.0,3.0,2.667,1.0,1.333,2.333,1.0,530.0,3.0,2.333,1.0,1.667,1.0,1.0
regarding Refugee status die,535.0,3.0,3.0,1.0,1.333,2.0,1.0,535.0,3.0,2.333,1.0,1.667,1.0,1.0
I,540.0,3.333,3.0,1.0,1.667,1.667,1.0,540.0,3.0,2.333,1.0,1.667,1.0,1.0
believe that our country should not,545.0,3.333,3.0,1.0,1.667,1.667,1.0,545.0,2.667,2.333,1.0,1.667,1.0,1.0
be,550.0,3.333,2.667,1.0,1.667,2.0,1.0,550.0,2.667,2.333,1.0,1.667,1.0,1.0
the time I'll start okay so I'm against,5.0,2.667,3.333,2.333,1.0,2.0,1.0,5.0,3.0,3.333,2.333,1.0,2.0,1.0
the integration of refugees to Korea so,10.0,2.667,3.667,2.333,1.0,2.0,1.0,10.0,3.0,3.333,2.333,1.0,2.0,1.0
my main point is I 3 main points firstly,15.0,3.0,3.667,2.333,1.0,2.0,1.0,15.0,3.0,3.333,2.333,1.0,2.0,1.0
I think it's important to take care of the Korean Nationals first and,20.0,2.667,3.333,2.333,1.0,2.0,1.0,20.0,3.0,3.333,2.333,1.0,2.0,1.0
then look after the refugee refugees I know it's a great thing to help other people,25.0,2.333,3.0,2.333,1.0,2.0,1.0,25.0,3.0,3.333,2.0,1.0,2.0,1.0
and the gospel others but I think it's more important to look after our,30.0,2.333,3.0,2.333,1.0,2.0,1.0,30.0,3.0,3.333,2.333,1.0,2.0,1.0
people first so if we look at an example of since breathtaking refugees is kind of a big,35.0,2.333,3.0,2.333,1.0,1.667,1.0,35.0,2.333,3.333,2.0,1.0,2.0,1.0
boundary if we look this into small boundary I think we can compare it with,40.0,2.333,3.0,2.333,1.0,1.667,1.0,40.0,3.0,3.333,2.333,1.0,1.667,1.0
a family so let's say the young family was ten,45.0,2.0,3.0,2.333,1.0,1.667,1.0,45.0,3.0,3.333,2.0,1.0,1.667,1.0
children and I'm not that wealthy and some of the children are getting enough food and,50.0,2.0,3.0,2.333,1.0,1.667,1.0,50.0,3.0,3.333,2.0,1.0,1.667,1.0
some aren't some are getting a good education but some are we the education at have,55.0,2.333,3.0,2.0,1.0,1.667,1.0,55.0,3.0,3.333,2.0,1.0,1.667,1.0
a bad environment for upbringing but just because,60.0,2.333,3.0,2.0,1.0,1.667,1.0,60.0,2.333,3.0,1.667,1.0,1.667,1.0
other wealthy families are taking adopting children,65.0,1.667,3.0,2.0,1.0,1.667,1.0,65.0,2.333,3.0,1.667,1.0,1.667,1.0
adopting is a great thing to do on these things have children and it's great,70.0,2.0,3.0,2.0,1.0,1.333,1.0,70.0,2.333,3.0,1.667,1.0,1.667,1.0
but would it be good to take in children,75.0,1.667,3.0,2.0,1.0,1.333,1.0,75.0,2.333,3.0,1.667,1.0,1.667,1.0
adopt children when you can't even take care of your own children properly,80.0,1.667,3.0,2.0,1.0,1.667,1.0,80.0,2.333,3.0,1.667,1.0,1.667,1.0
so I think it's best thing is to take care of our children,85.0,2.0,3.0,2.0,1.0,1.667,1.0,85.0,2.333,3.0,2.0,1.0,1.667,1.0
Fist and then look off balance so that's my first point and,90.0,1.667,3.0,2.0,1.0,1.667,1.0,90.0,2.333,3.333,1.667,1.0,1.667,1.0
my second point is that the people are mainly,95.0,1.667,3.0,2.0,1.0,1.667,1.0,95.0,2.333,3.0,1.667,1.0,1.667,1.0
Muslim and it's not to do with race I'm not being,100.0,1.667,3.0,2.0,1.0,1.667,1.0,100.0,2.333,3.0,1.667,1.0,1.667,1.0
I'm not being racist in the fact that,105.0,2.333,3.0,2.0,1.0,2.333,1.0,105.0,2.333,3.0,1.667,1.0,1.667,1.0
I think it's to do with the cultural thing,110.0,2.333,3.0,2.0,1.0,2.333,1.0,110.0,2.333,3.0,1.667,1.0,1.667,1.0
and,115.0,2.333,3.0,2.0,1.0,2.333,1.0,115.0,2.333,3.0,1.667,1.0,1.667,1.0
okay so if I'm I'm for immigration I guess so,120.0,2.667,3.0,2.0,1.0,2.333,1.0,120.0,2.333,3.0,1.667,1.0,1.667,1.0
let me just address your first point about taking care of Korean Nationals first,125.0,2.667,3.0,2.0,1.0,2.0,1.0,125.0,2.667,3.0,2.0,1.0,1.667,1.0
so yeah Korea should take care of their Nationals as well,130.0,2.667,3.0,2.0,1.0,2.0,1.0,130.0,2.667,3.0,2.0,1.0,1.667,1.0
but just because you know having refugees,135.0,3.333,3.0,1.667,1.0,1.667,1.0,135.0,3.667,3.333,2.333,1.0,2.333,1.0
who are applying for jobs that it could go to Koreans doesn't necessarily mean that they're not taking,140.0,3.0,3.0,1.667,1.0,1.667,1.0,140.0,3.667,3.667,2.333,1.0,2.333,1.0
care of Koreans in a way because what if those what if Koreans don't want those jobs,145.0,2.333,3.0,1.667,1.0,1.333,1.0,145.0,3.667,3.667,2.667,1.0,2.0,1.0
than all those small menial jobs would just then go to refugees and in a way it would help Korean,150.0,2.333,3.0,1.667,1.0,1.333,1.0,150.0,3.667,3.667,2.667,1.0,2.0,1.0
society and just because creating some creating Nationals are poor that's not the fault,155.0,3.0,3.0,1.667,1.0,1.333,1.0,155.0,3.667,3.667,2.333,1.0,1.667,1.0
of the government maybe it's the fault of the of the person of,160.0,2.0,2.667,1.667,1.0,1.667,1.0,160.0,3.667,3.333,2.333,1.0,1.667,1.0
the LOL it's maybe their own motivation that they lost so that they can't find a job they can't take,165.0,3.0,2.667,1.667,1.0,1.667,1.0,165.0,3.333,3.0,2.333,1.0,1.667,1.0
care of themselves and also for a second point,170.0,3.0,2.667,1.667,1.333,1.667,1.0,170.0,3.333,3.0,2.0,1.0,1.667,1.0
I think I have an idea of where you were going and to be honest Muslims,175.0,3.0,2.667,1.667,1.333,1.667,1.0,175.0,3.333,3.0,2.333,1.0,1.667,1.0
are actually considered one of the religions that is very well respected and,180.0,3.0,3.667,1.667,1.667,1.667,1.0,180.0,3.333,3.0,2.333,1.0,1.333,1.0
culturally they keep a lot of ground rules but those people extremists,185.0,2.0,3.667,1.667,1.667,1.667,1.0,185.0,3.333,3.0,2.333,1.0,1.333,1.0
are the ones who don't stick to those rules and want to add more rules of their own,190.0,2.667,3.667,1.667,1.667,1.667,1.0,190.0,3.0,3.0,2.333,1.0,1.333,1.0
to that religion so it's not necessarily religious wise,195.0,2.667,3.667,1.667,1.667,1.667,1.0,195.0,2.667,3.0,2.333,1.0,1.333,1.0
and I think that,200.0,2.667,3.667,1.667,1.667,1.667,1.0,200.0,2.667,3.0,2.333,1.0,1.333,1.0
Korea as a homogeneous society should actually become a little bit more heterogeneous and more,205.0,2.333,3.333,1.667,1.667,1.333,1.0,205.0,2.667,3.0,2.333,1.0,1.333,1.0
of a cultural Melting Pot like other First World countries yeah I think that's,210.0,2.667,3.333,1.667,1.667,1.333,1.0,210.0,2.667,3.0,2.333,1.0,1.333,1.0
it so yours you said that the poor people in Korea,215.0,2.667,3.333,1.667,1.667,1.333,1.0,215.0,2.667,3.0,2.333,1.0,1.333,1.0
are the fault of their own and it's not the government that's what you said and I agree that some,220.0,2.667,3.0,1.667,1.333,1.333,1.0,220.0,2.667,3.0,2.333,1.0,1.333,1.0
people in might be the case for some people that,225.0,2.667,3.0,1.667,1.333,1.333,1.0,225.0,2.667,3.0,2.333,1.0,1.333,1.0
I was brought up in the UK and the situation will be different there,230.0,2.667,3.0,1.667,1.333,1.333,1.0,230.0,2.667,3.0,2.333,1.0,1.333,1.0
is still poor people in Britain but the government,235.0,2.333,2.667,1.667,1.333,1.333,1.0,235.0,3.0,3.0,2.333,1.0,1.333,1.0
helping the poor people is extremely different from Korea and victim,240.0,2.667,2.667,2.0,1.0,1.333,1.0,240.0,3.333,3.333,2.0,1.0,1.0,1.0
I think the government isn't doing enough to help the disabled,245.0,3.333,2.667,2.0,1.0,1.333,1.0,245.0,3.333,3.667,2.333,1.0,1.0,1.0
or the,250.0,3.333,2.667,2.0,1.0,1.333,1.0,250.0,3.667,3.333,2.0,1.0,1.0,1.0
old people old people and eventually he'll Etc and people,255.0,3.667,2.667,2.0,1.0,1.333,1.0,255.0,3.333,3.333,2.0,1.0,1.0,1.0
who need help from the government who can't sustain the,260.0,3.667,3.0,2.0,1.0,1.333,1.0,260.0,3.333,3.333,2.0,1.0,1.0,1.0
can't help themselves who need help I think that,265.0,3.667,3.0,2.0,1.0,1.333,1.0,265.0,3.333,3.333,2.0,1.0,1.0,1.0
the government needs to help them more and I'm you said that extreme people add,270.0,3.667,2.667,1.667,1.0,1.667,1.0,270.0,3.0,3.333,2.0,1.0,1.0,1.0
more rule to the religion do you have you study the Cora,275.0,4.0,2.667,1.667,1.0,1.667,1.0,275.0,3.333,3.333,2.0,1.0,1.0,1.0
have you studied can't help themselves through need help I think that the government needs to help them more and and you said that extreme people add more rule to the religion do you how do you study the Koran have you studied Muslim religion because I studied the religion,280.0,3.667,2.667,2.0,1.0,2.0,1.0,280.0,3.0,3.333,2.0,1.0,1.0,1.0
because in the UK this is in GCSE we select subjects,285.0,3.667,2.667,2.0,1.0,2.0,1.0,285.0,3.333,3.333,2.333,1.0,1.0,1.0
and I selected religion I'm that about Muslims and the Quran and the Quran,290.0,3.333,2.667,2.0,1.0,1.667,1.0,290.0,3.0,3.0,2.333,1.0,1.0,1.0
I can't cook the crumbs I don't remember the exact words but it says,295.0,4.0,2.667,2.0,1.0,1.667,1.0,295.0,3.0,3.0,2.333,1.0,1.0,1.0
to kill non-muslims and kill the,300.0,3.667,2.667,2.0,1.0,1.333,1.0,300.0,3.0,3.0,2.0,1.0,1.0,1.0
gays kill the tried convert everyone to Muslim if they don't,305.0,3.333,2.667,1.667,1.0,1.333,1.0,305.0,3.0,3.0,2.0,1.0,1.0,1.0
convert kill them and go to a different country,310.0,3.333,2.667,1.667,1.0,1.333,1.0,310.0,3.0,3.0,2.0,1.0,1.0,1.0
and marry their people and have as many children children,315.0,3.333,2.667,1.667,1.0,1.333,1.0,315.0,3.0,3.0,2.0,1.0,1.0,1.0
and they make them all Muslim and attack on Muslims and if you kill someone because,320.0,3.0,2.667,1.667,1.0,1.333,1.0,320.0,3.0,3.0,2.0,1.0,1.0,1.0
of the religion you go to heaven okay,325.0,3.0,2.667,1.667,1.0,1.333,1.0,325.0,2.333,3.0,2.0,1.0,1.0,1.0
rebuttal time okay first I'll address your welfare,330.0,2.667,2.667,1.667,1.0,1.333,1.0,330.0,2.667,3.0,2.0,1.0,1.0,1.0
comment yeah so I think I,335.0,2.667,2.667,1.667,1.0,1.667,1.0,335.0,2.667,3.0,2.0,1.0,1.0,1.0
would agree with you maybe you came would have a better welfare situation,340.0,2.333,2.667,1.667,1.0,1.667,1.0,340.0,2.667,3.0,2.0,1.0,1.0,1.0
and comparisons to Korea right because Korean government,345.0,2.333,2.667,1.667,1.0,1.667,1.0,345.0,2.667,3.0,2.0,1.0,1.0,1.0
doesn't really do doesn't really care about the disabled disabled or mentally challenged,350.0,2.333,2.667,1.667,1.0,1.667,1.0,350.0,2.667,2.667,2.0,1.0,1.333,1.0
all the older generation and I agree with that but that's all in the government,355.0,2.333,2.667,1.667,1.0,1.667,1.0,355.0,2.333,2.667,2.0,1.0,1.333,1.0
instead of actually protesting against immigration they should actually be protesting,360.0,2.333,2.667,1.667,1.0,1.667,1.0,360.0,2.667,3.333,2.333,1.0,1.0,1.0
for you know rights for welfare status fixing everything,365.0,2.0,2.667,1.667,1.0,1.667,1.0,365.0,2.667,3.333,2.333,1.0,1.0,1.0
helping the mentally disabled helping the people helping the older generation maybe with pension,370.0,2.333,2.667,1.667,1.0,1.667,1.0,370.0,2.667,3.333,2.0,1.0,1.0,1.0
or well first raishin they should actually be protesting for you know rights for welfare status fixing everything helping the mentally disabled helping the people helping the older generation maybe with pension or welfare status that's what they should be fighting for instead of immigration as well,375.0,2.0,2.667,1.667,1.0,1.667,1.0,375.0,2.333,3.333,2.333,1.0,1.333,1.0
for a religion otherwise just because the coroner says to kill non-muslims,380.0,2.0,2.667,1.667,1.0,1.667,1.0,380.0,2.333,3.333,2.0,1.0,1.333,1.0
it's like the Bible they're like Stone everybody who is a sinner or stone people who don't,385.0,2.0,2.667,1.667,1.0,1.667,1.0,385.0,2.333,3.0,2.333,1.0,1.333,1.0
who's not Christian they still don't know it's just for her alligator,390.0,2.0,2.667,1.667,1.0,1.667,1.0,390.0,2.333,3.0,2.333,1.0,1.333,1.0
no way to Christian Stone them no Chris no but,395.0,2.0,2.667,1.667,1.0,1.667,1.0,395.0,2.333,3.0,2.333,1.0,1.333,1.0
but what about this Showcase of buildings Stone women who don't wear,400.0,2.0,2.667,1.667,1.0,1.667,1.0,400.0,2.333,3.0,2.333,1.0,1.333,1.0
the hijab that's only the extreme extreme ignore how do you know they're,405.0,2.0,2.667,1.667,1.0,1.667,1.0,405.0,2.333,3.0,2.333,1.0,1.333,1.0
only the extremist why isn't there any Christian extremist who do that throw stones,410.0,2.0,2.667,1.667,1.0,1.667,1.0,410.0,2.333,3.0,2.333,1.0,1.333,1.0
at the case kill people who commit adultery,415.0,2.0,2.667,1.667,1.0,1.667,1.0,415.0,2.333,3.0,2.333,1.0,1.333,1.0
it says in the Bible to kill Stone but that's only,420.0,2.333,3.0,1.333,1.333,2.0,1.0,420.0,3.333,3.333,2.0,1.667,2.333,1.0
a morality thing yeah to Christians as some of your morality did you see American,425.0,2.333,3.0,1.333,1.333,2.0,1.0,425.0,3.333,3.333,2.0,1.667,2.333,1.0
Muslims killing with non-muslims know you don't that would be an everyday occurrence in America,430.0,3.667,3.0,1.333,1.333,2.0,1.0,430.0,3.333,3.333,2.0,1.667,2.333,1.0
exactly so I don't think it all but not all of them follow,435.0,3.0,2.667,1.333,1.333,2.0,1.0,435.0,3.667,3.333,2.0,2.0,2.333,1.0
but,440.0,3.667,2.667,1.667,1.667,2.0,1.0,440.0,3.667,3.333,2.0,1.667,2.333,1.0
are they actually call themselves Muslims or do,445.0,3.667,2.667,1.667,1.667,2.0,1.0,445.0,3.333,3.0,2.0,1.667,2.333,1.0
they call themselves another word for their terrorist group it depends,450.0,4.0,3.0,1.667,1.667,2.0,1.0,450.0,3.0,3.0,2.0,1.667,2.333,1.0
they call themselves Muslims so you're saying that terrorist,455.0,4.0,3.0,1.667,2.0,2.0,1.0,455.0,3.0,3.0,1.667,1.667,2.333,1.0
people don't call themselves Muslims some don't some were just,460.0,3.667,3.667,1.667,2.0,2.0,1.0,460.0,3.0,3.0,1.667,1.667,2.333,1.0
a group that there were an activist are trying to defend their own country and then they ended up,465.0,3.667,3.333,1.667,2.0,1.667,1.0,465.0,3.0,3.0,2.0,1.667,2.333,1.0
getting the support of America and they became this huge terrorist groups like,470.0,3.667,3.333,1.667,2.0,1.667,1.0,470.0,3.333,3.333,2.0,1.667,2.333,1.0
for example Isis,475.0,3.333,3.0,1.667,2.0,2.0,1.0,475.0,3.0,3.333,2.0,1.667,2.333,1.0
so how is Isis so huge where is happening make money they got,480.0,3.333,3.0,1.667,1.667,2.0,1.0,480.0,3.0,2.667,2.0,1.667,2.333,1.0
their first support from the US and then when Saddam Hussein died,485.0,3.333,3.0,1.667,1.667,2.0,1.0,485.0,3.0,3.0,1.667,1.667,2.333,1.0
they go bigger how did they grew bigger where did they get all the equipment the weapons,490.0,3.333,3.0,1.667,1.667,2.0,1.0,490.0,3.0,2.667,1.667,1.667,2.333,1.0
they got the Weaponry from the America before before said I was saying died so they,495.0,3.333,3.0,1.667,1.667,2.0,1.0,495.0,3.0,2.667,1.667,1.667,2.333,1.0
got all the weapons before silencing and they're still have those weapons,500.0,3.333,3.0,1.667,1.667,2.0,1.0,500.0,3.0,3.0,1.667,1.667,2.333,1.0
yeah and then they sell was weapons being fine they gain followers followers make - definitely a huge support,505.0,3.333,3.0,1.667,1.667,2.0,1.0,505.0,3.0,2.667,1.667,1.667,2.333,1.0
from some certain government and most people assume that it's from Saudia,510.0,3.333,3.0,1.667,1.667,2.0,1.0,510.0,3.0,3.0,1.667,1.667,2.333,1.0
Arabia now it's prob maybe Saudi Arabia but in the beginning are why is Sandy Arabia,515.0,3.0,3.333,1.667,1.667,2.0,1.0,515.0,3.0,2.667,1.667,2.333,2.333,1.0
supporting the Isis because the Muslim Brotherhood,520.0,3.0,3.0,1.333,1.667,2.0,1.0,520.0,3.0,2.667,1.667,1.667,2.333,1.0
the Muslim idea what Isis is doing is they're doing exactly,525.0,3.0,3.667,1.333,1.667,2.0,1.0,525.0,3.667,3.333,2.0,1.667,2.333,1.0
what the Quran is very saying then what is a bomb their own mosque,530.0,3.0,3.333,1.333,1.667,2.0,1.0,530.0,3.333,3.0,1.667,1.667,2.333,1.0
they didn't bomb their own laws they terrorize their own walk and it's not like every Muslim,535.0,3.0,3.333,1.333,1.667,2.0,1.0,535.0,3.333,3.0,1.667,1.667,2.333,1.0
is a terrorist if everyone's,540.0,3.333,3.333,1.333,1.667,2.0,1.0,540.0,3.333,3.0,1.667,1.667,2.333,1.0
I'm saying terrorists are Muslim but not every,545.0,3.333,3.333,1.333,1.667,2.0,1.0,545.0,3.333,3.0,2.0,1.667,2.333,1.0
Muslim is a terrorist then not every terrorist is a Muslim,550.0,3.333,3.0,1.667,1.333,1.667,1.0,550.0,3.333,3.0,2.0,1.667,2.333,1.0
look the most terrorists are Muslim but then they,555.0,3.333,3.0,1.667,1.333,1.667,1.0,555.0,3.333,3.0,2.0,1.667,2.333,1.0
do we tap whose turn is it 10,560.0,3.333,3.0,1.667,1.333,1.333,1.0,560.0,3.667,3.0,1.667,1.333,2.333,1.0
first these refugees came,5.0,2.667,3.333,1.333,1.0,1.0,1.0,5.0,1.667,2.667,1.0,1.0,1.333,1.0
from your men right and they left because the their country at the Terrors and regime was being,10.0,2.667,3.333,1.333,1.0,1.0,1.0,10.0,1.667,2.667,1.0,1.0,1.333,1.0
because they thought the country was dangerous after all and,15.0,2.667,3.333,1.333,1.0,1.0,1.0,15.0,1.667,2.333,1.0,1.0,1.667,1.0
they have nowhere to go and Korea is a developed Nation also part of the United Nations,20.0,2.667,3.333,1.333,1.0,1.0,1.0,20.0,2.333,3.0,1.0,1.0,1.333,1.0
I think they have the responsibility to take in the refugees SL pasta,25.0,3.0,2.667,1.0,1.0,2.0,1.0,25.0,2.333,3.333,1.0,1.0,1.0,1.0
okay so again is the refugee letting the refugee into,30.0,3.0,2.667,1.0,1.0,2.0,1.0,30.0,2.0,3.333,1.0,1.0,1.0,1.0
Jeju Island because first of all they are abusing The Immigrant love which is,35.0,3.0,3.0,1.333,1.0,1.333,1.0,35.0,2.333,3.0,1.0,1.0,1.333,1.333
well first of all judges like a visa-free island so they can stay for 30,40.0,3.0,2.667,1.0,1.0,1.333,1.0,40.0,2.333,4.0,1.0,1.0,1.0,1.0
days but after that they have to go out but if they challenge,45.0,2.333,2.333,1.333,1.0,1.0,1.0,45.0,2.333,3.667,1.0,1.0,1.0,1.0
for a trial at the court to let them into can stay for additional 90 days and,50.0,2.667,2.333,1.333,1.0,1.0,1.0,50.0,2.0,3.667,1.0,1.0,1.0,1.0
and of Korean government has to provide like food shelter and,55.0,2.333,2.333,1.333,1.0,1.0,1.0,55.0,2.0,3.667,1.0,1.0,1.0,1.0
even for kids they have to provide Public Health Care and education so,60.0,2.333,2.333,1.333,1.0,1.0,1.0,60.0,2.0,3.667,1.0,1.0,1.0,1.0
I think they're kind of abusing that system and second of all I think it's bit,65.0,2.667,2.333,1.333,1.0,1.0,1.0,65.0,2.667,4.0,1.0,1.0,1.0,1.0
premature for both the refugees and Korean people to accept,70.0,2.667,2.333,1.333,1.0,1.0,1.0,70.0,2.667,3.667,1.0,1.0,1.0,1.0
each other for example Yemen is in the Middle East so it's,75.0,2.667,2.333,1.333,1.0,1.0,1.0,75.0,2.667,3.667,1.0,1.0,1.333,1.0
to the culture and like the food in general is different from Korea so,80.0,2.333,2.333,1.333,1.0,1.0,1.0,80.0,2.0,3.667,1.0,1.0,1.0,1.0
for the Koreans it's hard to understand them and also,85.0,2.333,2.333,1.333,1.0,1.0,1.0,85.0,2.0,3.667,1.0,1.0,1.0,1.0
for the young man is will be quite hard to settle down in Korea so yeah I didn't,90.0,2.333,2.333,1.333,1.0,1.0,1.0,90.0,2.333,4.0,1.0,1.0,1.0,1.0
think there is responsibility for Korea to Lieutenant,95.0,3.0,3.0,1.0,1.0,1.333,1.0,95.0,2.333,4.0,1.0,1.0,1.0,1.0
okay Point she said that they are abusing the law but the question of the debate is whether Korea should,100.0,3.0,3.0,1.0,1.0,1.333,1.0,100.0,2.0,3.0,1.0,1.0,1.333,1.0
accept the refugees and therefore the law is not the issue if they're abusing the law we can change the law,105.0,3.0,3.0,1.0,1.0,1.0,1.0,105.0,2.0,3.0,1.0,1.0,1.333,1.0
so that they can stay in more legally without using the sides,110.0,3.0,3.0,1.0,1.0,1.0,1.0,110.0,2.333,3.333,1.333,1.0,1.667,1.0
gates in the law and the second you said that Koreans and Muslims are so different that it's it's not realistic that they live together,115.0,3.0,3.0,1.0,1.0,1.0,1.0,115.0,2.333,3.333,1.0,1.0,1.667,1.0
but we have seen many cases in history like Germany and France everything,120.0,3.333,3.667,1.333,1.0,1.0,1.0,120.0,2.333,3.333,1.0,1.0,1.667,1.0
thousands of refugees and they have done,125.0,3.0,3.667,1.333,1.0,1.0,1.0,125.0,2.333,3.333,1.0,1.0,1.667,1.0
well and in contrast Korea is only old as Korea,130.0,3.0,3.667,1.333,1.0,1.0,1.0,130.0,2.333,2.667,1.0,1.0,2.0,1.0
only has to accept like 550 refugees which is a very small portion compared to what,135.0,3.0,3.667,1.333,1.0,1.0,1.0,135.0,3.0,3.0,1.333,1.333,1.333,1.0
countries like Germany and France are doing and he said that Muslims,140.0,3.0,3.667,1.333,1.0,1.0,1.0,140.0,3.0,3.0,1.333,1.333,1.333,1.0
will have difficulties settling in Korea but they don't have any choices they chose Korea,145.0,3.0,3.667,1.333,1.0,1.0,1.0,145.0,3.0,3.0,1.333,1.333,1.333,1.0
because at least it's better than staying in their home country,150.0,3.0,3.667,1.333,1.0,1.0,1.0,150.0,3.0,3.0,1.333,1.333,1.333,1.0
so I think the refugees don't have a choice,155.0,3.0,3.667,1.333,1.0,1.0,1.0,155.0,3.0,3.0,1.333,1.333,1.333,1.0
and it's it's rather an obligation that they stayed here,160.0,3.0,3.667,1.333,1.0,1.0,1.0,160.0,3.0,3.0,1.0,1.333,1.333,1.0
so for the first point of argument is that,165.0,3.0,3.667,1.333,1.0,1.0,1.0,165.0,2.667,3.0,1.0,1.0,1.333,1.0
they are abusing the law and so there was a petition to the blue house,170.0,3.0,3.667,1.333,1.0,1.0,1.0,170.0,2.667,3.0,1.0,1.0,1.333,1.0
where the people were like change the law to not,175.0,3.0,3.667,1.333,1.0,1.0,1.0,175.0,2.667,3.333,1.0,1.0,1.333,1.0
not let the Immigrant in and so what the government did was to change the law and excluded,180.0,2.333,3.0,1.0,1.0,1.667,1.0,180.0,2.667,3.333,1.0,1.0,1.333,1.0
your man from Visa free program so from now on except for the 550,185.0,2.667,3.0,1.0,1.0,1.667,1.0,185.0,2.667,3.333,1.333,1.0,1.333,1.0
people who are all already inside the Jeju Island o Maryam and people,190.0,2.333,3.0,1.0,1.0,1.667,1.0,190.0,2.667,3.333,1.0,1.0,1.333,1.0
can come in so from now on it illegal and second,195.0,2.333,3.0,1.0,1.0,1.667,1.0,195.0,2.667,3.333,1.0,1.0,1.333,1.0
difference Germany and yeah I think they should let the immigrants in,200.0,2.333,3.0,1.0,1.0,2.0,1.0,200.0,2.667,3.333,1.0,1.0,1.333,1.0
because let me think about all those crises originated from is from,205.0,2.667,3.0,1.0,1.0,2.0,1.0,205.0,2.333,3.0,1.0,1.0,1.0,1.0
the colonial period when the European countries invaded Africa and,210.0,2.667,3.0,1.0,1.0,2.0,1.0,210.0,3.0,3.333,1.333,1.0,1.0,1.0
set the ruler rulers in their own taste so they have like historical responsibilities,215.0,2.333,3.0,1.0,1.0,2.0,1.0,215.0,2.667,3.0,1.333,1.0,1.0,1.0
to let immigrants in but for example Korea don't have any kind of those connections,220.0,2.667,3.0,1.0,1.0,2.0,1.0,220.0,3.0,3.667,1.333,1.0,1.0,1.0
to military Middle East Country so yeah I don't think there is,225.0,2.667,3.0,1.0,1.0,1.333,1.0,225.0,3.0,3.667,1.0,1.0,1.0,1.0
I think rather than Korea maybe European countries who,230.0,2.333,3.0,1.0,1.0,1.333,1.0,230.0,2.667,3.667,1.0,1.0,1.0,1.0
created all those meth should let those immigrants thing right,235.0,2.333,3.0,1.0,1.0,1.333,1.0,235.0,3.0,3.667,1.0,1.0,1.0,1.0
you said that the law makes the refugees movements illegal but,240.0,2.333,3.0,1.0,1.0,1.333,1.0,240.0,2.667,4.0,1.0,1.0,1.0,1.0
the question of the debate is whether that should be legal or illegal so whether the laws are illegal,245.0,2.667,2.667,1.0,1.0,1.333,1.0,245.0,3.0,4.0,1.0,1.0,1.0,1.0
right now is irrelevant from this debate because that's what we are deciding right now whether we should change the laws so that,250.0,2.333,2.667,1.0,1.0,1.333,1.0,250.0,3.333,4.0,1.0,1.0,1.0,1.0
refugees should be accepted into Korea and the second you said that,255.0,2.667,2.667,1.0,1.0,1.333,1.0,255.0,3.0,4.0,1.0,1.0,1.0,1.0
France and Germany are different because they have historic ties to the Muslim countries,260.0,3.333,3.0,1.0,1.333,1.667,1.0,260.0,3.0,3.333,1.0,1.0,1.333,1.0
but but Korea also part,265.0,3.333,3.0,1.0,1.333,1.667,1.0,265.0,2.667,3.333,1.0,1.0,1.333,1.0
of the United Nations has signed at the convention so they also have the international obligation,270.0,3.333,3.0,1.0,1.333,1.667,1.0,270.0,3.0,3.333,1.0,1.0,1.333,1.0
to accept refugees when there is a crisis and also,275.0,3.333,3.0,1.0,1.333,1.667,1.0,275.0,2.667,3.333,1.0,1.0,1.333,1.0
German is certainly not accepting the refugees because they have historical responsibilities,280.0,3.333,3.0,1.0,1.333,1.667,1.0,280.0,3.0,3.333,1.0,1.0,1.333,1.0
to Syrian refugees sexually though relationship is very weak between Syria and,285.0,3.333,3.0,1.0,1.333,1.667,1.0,285.0,3.0,3.333,1.333,1.0,1.333,1.0
Germany it's not like Germany and Israel and so but they are accepting the refugees,290.0,3.333,3.0,1.0,1.333,1.667,1.0,290.0,2.667,3.0,1.0,1.0,1.333,1.0
because that's the that's the so it's that's the sort of behavior,295.0,3.333,3.0,1.0,1.333,1.667,1.0,295.0,3.0,3.0,1.0,1.0,1.333,1.0
they must show as a developed country and Korea to is a developed country and it,300.0,3.333,3.0,1.0,1.333,1.667,1.0,300.0,2.667,3.0,1.0,1.0,1.333,1.0
is very capable of accepting 550 refugees when countries like France and Germany are accepting,305.0,3.333,3.0,1.0,1.333,1.667,1.0,305.0,2.667,3.0,1.0,1.0,1.333,1.0
"100,000 refugees every year so I think refugees",310.0,3.333,3.0,1.0,1.333,1.667,1.0,310.0,3.0,3.333,1.0,1.0,1.333,1.0
should be learning so although they're like 550 people if you,315.0,3.333,3.333,1.0,1.0,1.333,1.0,315.0,3.0,3.333,1.0,1.0,1.333,1.0
make exceptions for those if Yemen crisis,320.0,3.333,3.333,1.0,1.0,1.333,1.0,320.0,2.667,3.333,1.0,1.0,1.333,1.0
