new_words,delta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,middleGamma,theta,delta2,lowAlpha2,highAlpha2,lowBeta2,highBeta2,lowGamma2,middleGamma2,theta2,arousal_trans,valence_trans,happy_trans,angry_trans,nervous_trans,sad_trans,arousal2_trans,valence2_trans,happy2_trans,angry2_trans,nervous2_trans,sad2_trans
scary Simon lot of convention Accords just she,-1.155,-1.184,-1.293,-1.273,0.736,0.32,-1.383,-1.104,-1.609,-1.622,-1.52,-1.414,-0.583,-1.032,-2.991,-2.067,3,3,2,2,2,1,4,3,2,1,2,1
effort to deal with this yam and civil Civil War which has been saved as,-1.437,-1.314,-1.533,-1.388,-0.94,-1.194,-1.188,-1.651,-1.434,-1.277,-1.51,-1.312,-0.599,-0.959,-0.754,-1.498,3,3,1,1,2,1,2,3,1,1,2,1
legitimate route Korea whether they chose to complicate their come here as,-0.98,-1.098,-1.219,-0.954,0.105,0.46,-0.942,-0.655,-1.51,-1.262,-1.539,-1.35,-1.048,-1.124,-2.204,-1.758,3,3,2,2,2,1,2,3,2,1,1,1
not obvious right,-0.821,-0.826,-0.719,-0.335,0.531,-0.483,-1.163,-1.718,-1.494,-1.473,-1.085,-1.296,-0.053,0.254,-2.201,-1.834,4,4,2,1,1,1,4,3,1,1,2,1
it's like now it's not but in the future is maybe can,-1.091,-1.426,-1.264,-0.826,1.121,1.698,0.152,-1.101,-1.432,-1.119,-1.474,-1.399,-0.121,-0.437,-2.325,-1.944,3,3,1,1,1,1,3,4,2,1,2,1
should not be ignored by the International Community and in the sense of many South Koreans who think,-1.237,-1.384,-1.421,-1.256,-0.432,-0.466,-1.327,-1.628,-1.114,-1.153,-1.102,-1.265,1.654,0.914,-1.137,-1.421,3,3,1,2,3,1,3,3,1,1,1,1
rest of accepting it just only 2%,-1.16,-1.123,-1.244,-1.041,-0.376,0.373,-0.414,-1.491,-1.287,-1.392,-1.305,-1.114,0.536,-0.035,-0.235,-1.628,3,4,1,1,2,1,3,4,2,1,2,1
the problem for me is their,-1.161,-1.24,-1.249,-1.149,0.698,-0.484,-1.636,-1.861,-1.598,-1.552,-1.242,-1.354,-0.955,-1.204,-1.705,-1.918,3,3,1,1,1,1,2,3,2,1,1,1
going to talk busy yeah man keepo,-1.323,-0.965,-1.177,-1.009,0.288,0.008,0.746,-0.853,-1.096,-0.509,-1.08,-0.782,1.04,0.248,-1.619,-0.906,2,2,1,1,3,1,3,3,1,1,1,1
most of the refugees that come to Korea are,-1.638,-1.366,-1.367,-1.32,-0.294,-0.663,-1.798,-1.819,0.404,-0.67,-0.842,-0.276,9.317,5.057,1.133,-1.525,3,3,1,1,1,1,3,2,1,1,3,1
designate specific country people why Yemen is how about others,-1.345,-1.265,-1.046,-1.018,-0.598,-0.532,0.054,-1.405,-0.945,-0.082,-1.211,-1.157,-0.007,0.186,-0.115,-1.471,4,4,2,1,1,1,3,3,1,1,2,1
really facing thus those threats by themselves in their Nation,1.346,1.782,-0.047,-0.361,-0.124,0.075,-0.35,-0.56,-1.249,-1.189,-1.056,-0.834,0.467,0.604,2.307,0.101,3,2,1,1,2,1,3,3,1,1,2,1
conflicts and you know,-1.181,-0.773,-1.041,-1.155,1.149,0.176,-1.107,-0.926,-0.889,-0.422,-0.845,-0.866,0.896,0.433,-0.749,-0.992,2,3,1,1,2,1,3,2,1,2,1,1
Korean economy and also I have doubt that the,-0.972,-0.991,-1.016,-1.053,0.365,-0.167,-0.398,-1.291,-1.41,-1.063,-1.331,-1.248,-0.031,-0.4,-0.97,-0.891,3,3,1,2,2,1,3,3,1,1,1,1
in I guess correcting this issue but at the same time I think what might be even,-1.348,-1.401,-1.384,-1.356,-0.483,-0.398,-1.48,-1.642,-1.461,-1.435,-1.524,-1.323,-0.8,-1.035,-2.519,-1.663,3,3,2,1,1,1,4,3,2,1,2,1
and and in order for example if you want to get them in I,-1.525,-1.589,-1.284,-1.374,-0.037,-0.656,-1.232,-1.633,2.05,6.85,3.143,0.503,11.119,2.968,-0.881,0.766,3,3,1,1,2,1,3,3,1,2,1,1
it's it has become a hot place for tourists so there are many reasons,-1.207,-0.782,-1.248,-1.219,1.713,0.069,-1.352,-1.253,-0.782,0.17,-0.729,-0.849,1.046,1.848,-0.405,-0.328,2,3,1,1,2,1,2,3,1,1,1,1
countries like Germany and France are doing and he said that Muslims,-1.259,-0.713,-1.419,-1.331,0.122,-0.758,-0.8,-1.464,-0.941,-0.826,-0.983,-1.137,0.868,0.127,0.163,-0.006,3,4,1,1,1,1,3,3,1,1,1,1
issues and maybe combination is first of all for the safety issues like I see,-1.374,-1.253,-1.435,-1.285,-0.739,-0.763,-0.369,-1.609,-0.714,-0.511,-0.762,-0.946,0.26,0.545,2.269,-0.751,3,4,2,2,2,1,2,3,2,1,2,1
have or these away that there are more populous proportion of,-0.838,-0.74,-0.965,-1.186,1.564,1.269,0.596,-1.246,0.612,0.057,-0.747,-0.941,1.693,1.69,0.37,-0.536,4,3,1,1,1,1,3,4,2,1,1,1
force or thing is the unemployment rate in Korea is like,-1.431,-1.182,-1.411,-1.233,-0.267,-0.734,-1.564,-0.928,-1.488,-1.484,-1.448,-1.277,-0.274,-0.712,-2.675,-1.864,3,4,2,1,1,1,3,3,1,1,1,1
obligation to take in refugees yeah then you agree that Korea has,-1.321,-1.286,-1.37,-1.329,-0.872,-0.625,-2.067,-1.7,-1.394,-1.603,-1.282,-1.336,-0.527,-0.568,-1.845,-1.914,3,3,1,1,2,1,3,2,1,1,1,1
and also you said that because there are many people of Muslim background in Korea,-1.375,-1.055,-1.267,-1.067,0.973,-0.161,-0.444,-0.579,-0.245,0.187,-0.756,-0.632,0.259,0.76,1.075,-0.046,3,3,1,2,1,1,4,3,1,1,2,1
they will refuse to employ,-1.549,-1.371,-1.47,-1.295,-0.751,-0.662,-2.027,-1.671,0.81,-0.313,-0.53,0.857,5.933,0.337,0.131,-1.158,3,3,1,1,2,1,3,3,1,1,1,1
were,-1.459,-1.455,-1.508,-1.338,-0.828,-1.086,-0.292,-1.841,-1.265,-1.09,-1.067,-1.045,1.824,3.068,-0.852,-0.192,3,4,2,1,1,1,3,3,1,1,1,1
emotional or personal personal feelings,1.017,1.815,-0.386,-0.293,0.036,0.582,0.43,1.376,-1.359,-1.435,-1.456,-1.278,-0.072,-0.328,-2.165,-1.893,3,3,1,1,2,1,3,3,1,1,1,1
Muslims killing with non-muslims know you don't that would be an everyday occurrence in America,-1.163,-1.154,-1.366,-1.233,0.498,0.328,-0.898,-1.526,-1.469,-1.344,-1.369,-1.344,-0.307,-0.403,-2.162,-1.825,4,3,1,1,2,1,3,3,2,2,2,1
boundary if we look this into small boundary I think we can compare it with,-1.129,-1.463,-1.278,-1.168,0.252,-0.46,-0.403,-1.836,-1.097,-1.306,-1.178,-0.976,0.673,2.217,0.995,-1.148,2,3,2,1,2,1,3,3,2,1,2,1
as I mean not a lot but then there's still help me it's increased from the form,-1.475,-0.703,-1.37,-1.363,-0.105,-0.661,-0.716,-1.733,-0.881,-1.002,-1.282,-1.073,-0.135,-0.691,-0.47,-1.529,3,3,1,2,1,2,3,3,2,1,1,1
what the I think they,-1.316,-0.685,-1.169,-1.146,0.229,-0.29,-0.404,-1.136,-1.626,-1.403,-1.489,-1.38,-0.184,-0.707,-2.68,-1.925,3,3,2,1,2,1,3,3,2,2,2,2
many people cannot come to a career I mean they,-1.358,-1.377,-1.466,-1.352,0.267,-0.956,-2.532,-1.06,-1.18,-1.309,-0.829,-1.295,-0.232,-0.728,-1.685,-1.572,4,3,1,1,2,1,3,3,1,1,2,1
why are we letting these refugees come in and why are we spending taxpayers,-1.575,-1.169,-1.468,-1.388,-0.763,-0.647,-2.062,-1.447,-1.402,-0.937,-1.385,-1.385,1.206,-0.267,-1.575,-1.747,2,3,1,1,1,1,2,3,1,1,1,1
crime in the end like because they cannot earn money from,-1.442,-1.294,-1.554,-1.388,-0.66,-0.867,-1.039,-1.786,0.131,1.669,-0.773,-1.071,1.162,-0.042,-0.383,-1.044,3,3,1,1,2,1,3,3,1,1,1,1
can be seen grilled it for this problem we should we should make a can,-0.428,0.622,-0.525,-0.537,4.97,3.442,0.918,1.752,0.816,0.167,-0.522,-0.547,3.424,2.3,-0.587,0.214,4,3,1,2,2,1,3,3,1,2,2,1
total blocking of these refugees well yeah it could,-0.997,-1.084,-1.303,-1.293,-0.1,0.075,0.202,-1.577,-1.651,-1.048,-1.543,-1.354,-0.787,-1.12,-1.761,-1.518,3,2,1,1,1,1,3,3,2,1,2,1
countries yeah but Islam countries,-0.982,-0.921,-1.146,-1.074,-0.573,-0.96,-2.187,-1.665,-1.1,-0.802,-1.263,-1.132,-0.543,-0.742,-2.003,-1.516,3,4,2,1,1,1,3,3,1,1,1,1
my main point is I 3 main points firstly,-0.654,-0.314,-0.971,-1.041,1.303,2.335,-0.339,-0.692,-0.193,-0.938,-0.842,-1.134,2.044,0.364,1.278,-0.921,3,4,2,1,2,1,3,3,2,1,2,1
okay so the reason why she's just drove for,-1.381,-1.461,-1.561,-1.379,-0.42,-1.04,-2.64,-1.855,-1.308,-1.15,-1.47,-1.368,-0.96,-1.084,-1.532,-1.616,2,3,1,2,2,1,3,4,1,1,2,1
right so you don't want to,-1.195,-0.821,-1.304,-1.18,1.214,0.082,-1.537,-1.057,-1.508,-1.241,-1.464,-1.364,-0.506,-1.022,-1.527,-1.892,3,3,2,1,2,1,3,3,2,1,1,2
the country or not rather than you know how to solve this crisis not know how to solve this question about what you know what we can,-1.319,-1.076,-1.285,-1.279,0.038,2.342,-0.168,-1.751,-1.554,-1.463,-1.284,-1.374,-0.33,-0.52,-0.435,-1.625,3,4,1,1,1,1,3,3,1,1,1,1
or semicolon come here yeah so yeah I mean,-1.42,-1.468,-1.433,-1.345,0.31,-0.404,-2.104,-1.774,-1.409,-1.388,-1.472,-1.375,-0.432,-0.584,-2.002,-1.774,3,3,2,1,2,1,3,3,2,1,2,1
the inverse number will will significantly,-1.442,-1.133,-1.322,-1.262,0.514,0.255,-1.497,-1.356,-1.483,-1.371,-1.317,-1.324,0.069,-0.398,-2.092,-1.717,3,3,2,1,2,1,4,4,3,1,1,1
so,-0.3,-0.851,0.229,-0.492,-0.069,-0.101,0.276,0.072,-0.965,-0.017,-0.254,-0.815,3.613,3.446,2.045,0.046,3,3,1,1,2,1,3,3,1,1,1,1
yeah in some point I agree with your opinion,-1.567,-1.574,-1.557,-1.424,-0.969,-1.181,-1.839,-1.929,-0.853,-0.739,-1.138,-1.218,1.501,0.475,-1.681,-1.303,3,4,1,1,1,1,4,3,1,1,1,1
for those jobs that are in are no longer taking because these drugs,-1.398,-1.339,-1.397,-1.214,-0.058,-0.356,-0.028,-1.531,-1.634,-1.512,-1.529,-1.42,-0.736,-1.011,-2.771,-1.968,4,4,2,1,2,1,3,3,1,1,2,1
it says in the Bible to kill Stone but that's only,-1.43,-1.159,-1.397,-1.215,-0.038,-0.448,-2.288,-1.3,-1.037,-1.097,-0.997,-0.615,1.438,2.208,0.354,-1.078,2,3,1,1,2,1,3,3,2,2,2,1
women being raped at Night by a little like the case in the how,-1.297,-0.88,-1.286,-1.221,0.264,0.513,-0.346,-1.152,-1.601,-1.482,-1.575,-1.398,-1.027,-1.095,-1.329,-1.724,4,4,3,2,2,1,4,4,3,1,1,1
so I think that because of be Muslim,-1.295,-1.112,-1.171,-1.06,1.83,0.17,-1.445,-0.908,-1.389,-1.31,-1.007,-1.275,-0.435,-0.617,-0.851,-1.866,2,3,2,1,2,1,3,3,2,1,2,1
people and repudiate the harmony call refugees,-1.201,-1.299,-1.359,-1.333,0.358,-0.479,-1.464,-1.478,-0.195,0.314,-0.761,-0.738,0.776,3.376,-0.955,0.98,3,2,1,2,3,1,3,3,1,2,2,1
they came to Korea,-1.451,-1.387,-1.408,-1.295,-0.117,-0.28,-1.284,-1.441,-1.412,-0.905,-1.206,-1.23,-0.297,-0.793,-1.29,-0.819,3,3,1,1,2,1,2,3,2,1,2,1
of course Northeast Asia as a German South Korea North Korea General is very in stable place in the political,-1.426,-1.052,-1.299,-1.097,-0.102,-0.56,-0.17,-1.385,-1.311,-1.074,-0.922,-1.258,1.547,2.719,-0.628,-0.342,2,3,1,1,1,1,3,2,1,1,2,1
refugees or maybe a huge portion of them like what happened now has,0.113,-1.093,-0.737,-1.009,0.469,0.422,1.654,-1.055,-1.608,-1.541,-1.453,-1.36,-0.548,-0.762,-3.046,-2.017,4,3,1,2,1,1,3,2,1,1,1,1
at not accepting the loss in Europe but try to force Islam,-1.413,-1.368,-1.46,-1.34,-0.098,-0.142,-0.821,-1.604,-1.721,-1.656,-1.434,-1.447,-1.083,-1.12,-2.832,-2.107,2,3,2,1,2,1,3,3,2,1,2,1
staff who are their job for money for money and Etc,-1.485,-1.249,-1.421,-1.36,-0.439,-0.586,-0.571,-1.325,-0.566,1.049,-0.12,-0.235,2.733,3.49,1.816,-0.244,2,2,1,1,2,1,2,3,1,1,1,1
so yeah Korea should take care of their Nationals as well,-1.575,-1.344,-1.446,-1.316,-0.254,-0.64,-1.51,-1.833,-1.293,-0.84,-1.047,-1.17,1.445,0.742,-0.27,-0.794,3,3,2,1,2,1,3,3,2,1,2,1
but I don't know about any water or religious problems,-1.375,-1.403,-1.465,-1.294,-0.829,-1.21,-1.356,-1.807,-1.388,-1.34,-1.067,-1.183,0.729,0.262,-1.191,-1.423,3,4,1,1,1,1,4,3,1,1,2,1
like strictly against this refugees right so talking about that then,-1.532,-1.47,-1.56,-1.386,-0.853,-1.126,-2.724,-1.811,-1.606,-0.957,-1.417,-1.252,-0.73,0.019,-1.699,-1.403,3,3,2,1,1,1,3,3,1,1,3,1
is some car like they call hit or humanitarians humanitarian visas,-1.601,-1.522,-1.539,-1.424,-0.944,-1.02,-0.256,-1.798,-1.67,-1.631,-1.55,-1.412,-0.766,-0.843,-1.798,-1.956,4,3,1,2,2,1,3,3,1,1,2,1
high levels of youth unemployment so there is this concept of this idea that,-1.668,-1.546,-1.587,-1.417,-1.085,-1.164,-2.689,-1.935,-1.365,-1.176,-1.325,-1.392,-0.367,-0.888,-1.905,-1.815,3,3,1,1,2,1,2,3,1,1,1,1
you have to accept that I think,-0.552,-0.796,-0.408,-0.959,-0.703,-0.81,0.127,-0.563,-1.288,-1.182,-1.409,-1.269,-0.454,-0.434,0.223,-1.534,3,3,1,1,2,1,3,3,2,1,1,1
okay that's the same that not a lot of people know,-1.496,-1.475,-1.415,-1.348,-0.112,-0.528,-2.179,-1.76,-1.473,-1.507,-1.412,-1.075,0.979,-0.47,-2.18,-1.869,3,4,2,2,2,1,3,3,1,1,2,1
that these refugees can get into and therefore don't have space for these people,-1.574,-1.446,-1.527,-1.335,-0.552,-0.962,-2.439,-1.873,-1.485,-1.357,-1.433,-1.232,0.011,-0.411,-1.861,-1.651,3,3,1,2,1,1,3,3,1,1,1,1
you know if South Korea chooses to like lock the refugees,-0.643,-0.457,-1.269,-1.07,-0.56,-0.9,1.06,-0.94,-0.979,-1.024,-1.354,-1.155,-0.366,-0.195,0.59,-1.472,3,3,1,1,1,1,3,3,2,1,3,1
is very hypocritical and against the words that Korea should be keeping it with International,-1.621,-1.618,-1.369,-1.435,-0.895,-0.948,-2.258,-2.03,-1.552,-1.472,-1.562,-1.293,-0.546,-0.916,-1.826,-1.623,3,3,2,1,2,1,3,3,1,1,2,1
he stopped the war and reject money III read that money to the yemeni citizens,-0.076,-0.696,-0.364,-0.762,3.792,2.521,0.658,-1.16,-1.483,-1.03,-1.408,-0.999,0.474,0.387,-1.2,-1.458,3,3,1,1,1,1,2,3,1,1,1,1
areas of different reasons about the threats well we redo,-0.213,1.785,-0.065,-0.318,-0.464,0.115,0.381,-0.345,-1.212,-0.931,-1.435,-1.316,-0.251,-0.53,-1.807,-1.591,3,3,1,1,2,1,3,3,1,1,1,1
it's wrong and that this is the natural reaction of the people in Korea,-1.025,-0.722,-0.375,-0.727,-0.478,-0.873,-0.632,-0.832,-1.485,-1.521,-1.31,-1.328,-0.399,-0.4,-0.708,-1.538,3,3,1,1,1,1,3,3,1,1,2,1
I think I have an idea of where you were going and to be honest Muslims,-1.672,-1.565,-1.501,-1.333,-0.651,-0.878,-2.596,-1.947,-1.146,-0.503,-1.184,-1.034,0.796,0.924,0.209,-0.546,3,3,2,1,2,1,3,3,2,1,2,1
second point is multiculturalism I agree with that,-1.339,-1.053,-1.29,-1.305,-0.294,-0.444,-1.257,-1.298,-1.533,-1.519,-1.123,-1.364,-1.139,-1.109,-1.58,-1.064,3,3,1,1,1,1,2,3,2,1,2,1
in Japan so and many other like European countries it's mostly the middle,-1.407,-1.336,-1.367,-1.181,-0.453,-0.778,-1.843,-1.576,-1.461,-1.298,-1.361,-1.326,-0.023,-0.276,-0.341,-1.538,3,4,1,1,1,1,4,3,1,1,2,1
I think the government isn't doing enough to help the disabled,-0.991,-0.893,-1.283,-1.204,1.571,0.083,0.193,-1.24,-1.294,-0.314,-1.215,-1.065,2.276,0.846,-1.345,-0.742,3,3,2,1,1,1,3,4,2,1,1,1
also it is built it is believed that it is believed,-1.229,-1.276,-1.212,-1.163,1.111,0.334,0.7,-0.974,-1.553,-1.385,-1.153,-1.349,-0.3,-0.935,-2.046,-1.678,4,2,1,1,2,1,3,3,1,1,2,1
South Korea is fully capable of accepting yemenis refugees I would like to,-0.301,0.153,-0.883,-0.794,3.231,2.038,-0.14,0.961,-1.316,-0.705,-1.165,-1.221,2.25,1.042,-1.379,-0.546,3,3,1,2,2,1,3,3,1,1,1,1
would agree with you maybe you came would have a better welfare situation,-1.392,-1.144,-1.418,-1.232,-0.658,-0.626,-1.132,-1.518,-1.568,-1.4,-1.266,-1.293,0.138,-0.086,-0.64,-1.683,2,3,2,1,2,1,3,3,2,1,1,1
social confusion so I think those kind of confusion will be even much,0.084,2.139,-1.017,-0.527,3.367,2.596,-0.159,0.735,-1.35,-1.342,-1.281,-1.274,-0.487,-0.317,-2.345,-1.916,4,3,1,1,2,1,4,3,1,1,2,1
then that much that much money has to be taken from,-0.617,0.691,-0.855,-1.205,8.096,3.063,-0.663,-1.211,-1.71,-1.625,-1.622,-1.468,-1.009,-1.311,-2.45,-2.032,2,3,1,1,2,1,2,3,1,1,1,1
Refugee studies International Convention I think Korea has a duty to take part in the global,-1.428,-1.381,-1.492,-1.263,-0.584,-1.045,-1.015,-1.147,1.144,-0.01,-0.399,-0.618,1.975,1.44,0.56,0.575,2,3,1,1,2,1,2,3,1,1,2,1
the LOL it's maybe their own motivation that they lost so that they can't find a job they can't take,-1.578,-1.43,-1.552,-1.331,-0.811,-1.034,-0.926,-1.634,-1.315,-1.159,-1.384,-1.244,-0.045,0.162,-0.752,-1.494,3,3,2,1,2,1,3,3,2,1,2,1
people into the community so that should be the first assignment in Korean government and,-1.452,-1.08,-1.469,-1.312,-0.59,-0.917,-1.524,-1.739,-1.075,-1.017,-1.32,-1.102,-0.602,-0.783,0.399,-1.783,2,3,1,1,1,1,3,3,1,1,1,1
our economy is stabilized with there's less chaos but the crisis isn't going to wait for us,-1.33,-1.217,-0.703,-1.052,1.333,3.047,-0.886,-0.687,-1.361,-1.453,-1.462,-1.112,-0.624,-0.559,-1.372,-1.739,2,3,1,1,1,1,3,2,1,2,1,1
unlike many of the other Asian countries that did not sign it and I think it's very important,-1.232,-1.18,-1.406,-1.281,1.052,-0.001,-0.87,-1.876,-1.459,-1.363,-1.514,-1.365,-0.592,-0.968,-0.748,-1.511,3,3,2,1,2,1,3,3,2,1,2,1
says I said there should be like some other ways,-1.471,-1.433,-1.336,-1.303,0.152,-0.4,-1.867,-1.507,-1.51,-1.277,-1.423,-1.216,-0.571,-1.046,-0.191,-1.772,3,3,2,1,1,1,3,3,1,1,3,1
but like Kpop for example there are a lot of fans in the other,-1.649,-1.137,-1.503,-1.37,-0.356,-0.96,-1.795,-1.616,-1.024,-1.28,-1.066,-0.769,0.488,-0.219,1.105,-1.509,3,3,2,1,1,1,3,3,2,1,3,1
so before but then Korea accepted them before going through like,-1.561,-1.447,-1.428,-1.332,-0.82,-0.855,-2.807,-1.986,-0.848,-0.293,-0.945,-0.977,0.487,1.127,-1.438,-1.164,3,3,1,1,1,1,4,3,1,1,1,1
shares argued that South Korea is to hormones homogeneous and many people face,-1.294,-1.298,-1.335,-1.118,-0.712,-0.796,-0.765,-1.219,-1.588,-1.459,-1.443,-1.384,-0.655,-0.542,-2.006,-2.021,4,3,1,2,1,1,3,2,1,1,1,1
government also consider walls of the South Korean citizens and,-1.576,-1.199,-1.422,-1.414,-0.37,-0.228,-0.141,-1.749,-0.699,-0.936,-1.104,-0.955,1.721,0.49,-0.446,-1.195,3,3,2,1,2,1,3,3,1,1,3,1
is not really compatible with Korean culture and they,-0.983,-0.647,-1.363,-1.317,0.849,-0.391,-1.687,-1.904,0.14,0.512,-0.937,-0.822,1.98,-0.556,-1.948,-1.624,3,3,1,1,1,1,3,2,1,1,2,1
now is bringing a lot of terrorism and fights within the state of Europe,-1.457,-1.505,-1.34,-1.046,-0.158,0.09,0.302,-1.404,-1.17,-1.268,-1.264,-1.121,-0.385,-0.421,-1.124,-1.374,3,3,1,1,1,1,2,3,2,1,1,1
a state of war in Korea it and Korean men are upload jacket military and,-1.056,-0.778,-1.171,-1.097,1.829,0.794,1.248,-0.256,-0.819,0.609,-0.036,-0.801,3.837,6.957,2.04,-0.637,2,3,1,1,1,1,3,3,1,1,2,1
so that they can stay in more legally without using the sides,-1.324,-0.997,-1.479,-1.232,-0.201,-0.541,-1.411,-1.408,-0.988,-1.289,-1.289,-1.077,-0.29,-0.26,-0.257,-0.872,3,3,1,1,1,1,2,3,1,1,2,1
but would it be good to take in children,-0.231,-0.618,-0.872,-0.776,4.558,1.637,0.477,0.037,-1.509,-1.396,-1.444,-1.319,-0.504,-0.523,-2.804,-1.621,2,3,2,1,1,1,2,3,2,1,2,1
somewhere else and I think that that money can be,-1.345,-0.984,-1.228,-1.183,1.636,0.611,-0.16,-1.349,-1.694,-1.598,-1.612,-1.452,-1.063,-1.274,-2.368,-2.074,3,3,1,1,2,1,2,3,1,1,1,1
agree we do in in a sense that since we have already signed their confession,0.633,-0.517,-0.954,-0.661,-0.303,-0.643,0.465,0.53,-1.332,-0.328,-0.848,-0.323,1.56,0.599,0.139,-0.415,3,3,1,1,2,1,3,3,1,1,1,1
part of Korea and certainly we can therefore conclude that the effect of refugees and Korean,-0.256,-0.327,-1.292,-1.111,1.418,1.01,0.112,-0.178,-1.009,-1.109,-1.321,-1.193,-0.387,-0.571,-0.055,-0.765,3,4,1,1,1,1,3,3,1,1,2,1
stuff but by experience for example in,-1.359,-1.351,-1.402,-1.242,0.321,-0.15,-0.705,-1.564,-1.009,-1.209,-0.887,-0.97,-0.714,-0.345,-1.49,-1.556,2,3,2,1,1,1,2,3,2,1,2,1
curse and the book wasn't just a signpost okay I'll get this money and you just go that,0.147,0.426,2.076,1.957,0.909,3.556,-1.273,0.254,-1.142,-0.86,-1.273,-1.093,-0.182,-0.289,-1.121,-1.321,2,3,1,1,1,1,3,3,1,1,2,1
will live in a resort area I think people might avoid that area,0.176,0.081,-0.197,-0.408,3.013,2.086,2.15,-0.75,-1.667,-1.625,-1.513,-1.433,-1.086,-1.278,-2.064,-1.988,2,3,2,1,2,1,2,3,2,1,2,1
Yemen is very different from,-1.663,-1.268,-1.582,-1.425,-0.965,-1.106,-0.976,-1.688,0.103,1.042,1.728,-0.033,5.383,5.174,-0.887,0.925,2,2,1,1,3,1,3,3,1,1,2,1
they believe that these immigrants will be character jobs will take a lot of welfare,-1.55,-1.306,-1.17,-1.156,0.426,-0.258,-2.491,-1.573,-1.099,-1.486,-1.377,-1.177,-0.251,-0.72,-0.814,-1.092,3,3,2,1,1,1,4,3,2,1,2,1
and power without all of the without of English it will,-0.916,-0.834,-1.298,-1.05,0.492,0.681,1.905,-1.322,-1.51,-0.901,-1.35,-1.168,-0.602,-0.659,-1.18,-1.355,2,2,1,1,2,1,2,3,1,1,1,1
to let immigrants in but for example Korea don't have any kind of those connections,-1.484,-1.206,-1.503,-1.193,0.399,-0.097,-0.919,-1.686,-1.481,-1.356,-1.455,-1.379,-0.517,-1.012,-2.778,-1.802,3,3,1,1,2,1,3,4,1,1,1,1
have any friends but I think I mean they still have,-0.727,-1.185,-1.245,-1.266,1.045,0.647,-0.49,-0.834,-1.468,-1.523,-1.531,-1.379,-0.593,-0.971,-3.021,-2.004,3,3,2,1,2,1,3,3,3,1,1,2
and that will be a huge problem and at that time,-1.633,-1.648,-1.629,-1.434,-0.929,-1.164,-2.934,-2.047,-1.422,-1.27,-1.081,-1.237,1.095,-0.875,-1.5,-1.689,3,3,1,1,2,1,3,3,1,1,2,1
but only if the situation with situation allows self I mean I think that,-0.375,-1.016,-0.798,-1.079,1.402,1.611,0.265,-1.254,-0.92,-0.98,-1.112,-1.158,1.207,1.002,1.609,-0.752,3,3,1,1,2,1,2,3,1,1,1,1
and also a rash decision that shouldn't be made so quickly,-1.318,-0.894,-1.335,-1.283,0.112,-0.686,-1.117,-1.237,-1.584,-1.251,-1.49,-1.354,-0.528,-0.956,-2.094,-1.771,3,3,2,1,2,1,3,3,2,1,1,1
to take care of the yemeni citizen strength but,-0.929,-1.367,-0.52,-1.087,1.351,0.858,-1.315,-1.374,-1.205,-1.095,-1.382,-1.224,-0.404,-0.037,-0.121,-1.44,2,3,1,1,2,1,3,3,1,1,1,1
Confucius countries which make our court ending or core culture,-1.303,-0.749,-0.672,-0.962,2.226,1.772,-0.365,-0.294,0.604,2.075,1.433,1.004,7.195,7.351,-1.155,1.039,3,3,1,1,2,1,3,3,1,1,2,1
well you have said that French,-1.266,-1.348,-1.53,-1.264,-0.308,-0.708,-0.288,-1.579,-1.553,-1.129,-1.257,-1.101,0.826,-0.265,-1.594,-1.295,2,4,1,1,1,1,3,4,1,1,1,1
because nowadays because of the war the infinite,-1.65,-1.547,-1.463,-1.406,-0.059,-0.565,-1.823,-1.863,-1.328,-0.321,-1.357,-1.209,0.51,-0.079,-1.275,-0.897,3,3,2,1,2,1,3,3,2,1,2,1
that you mentioned about rate,-0.587,-0.164,-0.668,-0.354,-0.21,-0.582,-0.843,-0.331,-0.959,-1.071,-1.036,-1.006,0.061,-0.202,-0.985,-1.371,3,3,1,1,2,1,3,3,1,1,1,1
hike in the eighth in the number of refugees from 42 seeking Asylum,-1.238,-1.147,-1.309,-1.231,0.263,-0.482,-1.216,-1.151,-0.49,-0.768,-0.968,-1.051,1.596,1.269,-0.671,0.836,3,3,1,2,2,1,4,4,2,1,1,1
it's like you say Korean government has put the human to the result,-1.518,-1.403,-1.402,-1.305,-0.187,-0.515,-1.191,-1.749,-1.434,-1.512,-1.481,-1.364,-0.176,-0.261,-1.654,-1.839,4,4,2,1,3,1,3,4,2,1,2,1
as a developed country,-1.392,-1.373,-1.276,-1.319,-0.889,-0.981,-2.174,-1.91,-1.42,-1.302,-1.241,-1.105,0.694,0.299,0.559,-1.398,4,3,1,2,1,1,3,2,1,1,1,1
and I'm too and you mean I think that race question because the some Koreans,0.111,-0.233,-1.077,-0.682,0.158,0.282,0.734,-0.463,-1.184,-1.501,-1.201,-1.211,1.379,0.878,-1.556,-0.768,4,3,1,1,1,1,4,4,2,1,2,1
that there are not like enough like shelter and like system systems I can,-1.441,-1.493,-1.51,-1.307,-0.896,-1.176,-2.175,-1.888,-1.431,-1.161,-1.457,-1.349,-0.466,-0.976,-1.227,-1.653,3,3,2,2,2,1,2,3,1,1,1,2
definitely understand why people would prefer to spend more tax money on,-1.63,-1.408,-1.469,-1.329,-0.689,-1.034,-1.907,-1.719,-1.565,-1.499,-1.477,-1.238,-0.499,-0.925,-1.608,-1.473,4,3,1,1,1,1,3,3,1,1,1,1
