new_words,seconds_trans,arousal_trans,valence_trans,happy_trans,angry_trans,nervous_trans,sad_trans,seconds2_trans,arousal2_trans,valence2_trans,happy2_trans,angry2_trans,nervous2_trans,sad2_trans,delta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,middleGamma,theta,delta2,lowAlpha2,highAlpha2,lowBeta2,highBeta2,lowGamma2,middleGamma2,theta2
because they thought the country was dangerous after all and,15,2,2,0,0,0,0,15,1,1,0,0,1,0,-0.859,-0.787,-1.45,-1.195,2.35,-0.089,-1.576,-1.505,-1.578,-1.533,-1.521,-1.393,-0.568,-0.64,-2.198,-1.668
they have nowhere to go and Korea is a developed Nation also part of the United Nations,20,2,2,0,0,0,0,20,1,2,0,0,0,0,-1.609,-1.429,-1.363,-1.251,1.051,-0.298,-0.805,0.066,-1.643,-1.566,-1.584,-1.433,-1.004,-1.173,-2.811,-1.93
I think they have the responsibility to take in the refugees SL pasta,25,2,2,0,0,1,0,25,1,2,0,0,0,0,-1.3,-0.986,-1.175,-1.085,0.753,0.514,-0.027,-0.487,-1.526,-1.464,-1.469,-1.348,-0.7,-0.857,-1.419,-1.697
okay so again is the refugee letting the refugee into,30,2,2,0,0,1,0,30,1,2,0,0,0,0,-1.417,-1.341,-1.389,-1.313,1.142,-0.735,-1.574,-1.676,-0.889,-1.155,-1.226,-1.172,0.454,-0.607,-0.674,-0.055
Jeju Island because first of all they are abusing The Immigrant love which is,35,2,2,0,0,0,0,35,1,2,0,0,0,0,-1.526,-1.467,-1.259,-1.293,1.195,0.043,-1.876,-0.608,-1.311,-0.987,-0.935,-0.997,0.187,-0.024,-0.876,-1.223
well first of all judges like a visa-free island so they can stay for 30,40,2,2,0,0,0,0,40,1,3,0,0,0,0,-1.124,-0.809,-0.997,-1.117,3.289,1.381,0.31,-0.206,-0.897,-1.157,-1.17,-1.268,0.207,0.171,-0.218,-1.068
days but after that they have to go out but if they challenge,45,1,1,0,0,0,0,45,1,3,0,0,0,0,-1.355,-0.835,-1.272,-1.186,1.083,0.352,0.223,-0.621,-0.371,-0.879,-0.926,-1.128,1.452,0.282,0.886,-0.435
for a trial at the court to let them into can stay for additional 90 days and,50,2,1,0,0,0,0,50,1,3,0,0,0,0,-0.58,-1.211,-1.215,-1.152,2.334,1.611,-0.835,-1.33,0.011,-1.292,-1.026,-0.846,0.708,0.138,0.031,-0.263
and of Korean government has to provide like food shelter and,55,1,1,0,0,0,0,55,1,3,0,0,0,0,-1.348,-1.442,-1.512,-1.329,-0.037,-0.706,-1.575,-1.414,-1.607,-1.575,-1.492,-1.43,-0.712,-0.83,-2.225,-1.877
even for kids they have to provide Public Health Care and education so,60,1,1,0,0,0,0,60,1,3,0,0,0,0,-1.228,-0.606,-1.229,-1.207,0.642,0.296,-0.661,-0.676,-1.587,-1.465,-1.465,-1.36,-0.543,-0.234,-1.984,-1.825
I think they're kind of abusing that system and second of all I think it's bit,65,2,1,0,0,0,0,65,2,3,0,0,0,0,-1.468,-1.237,-1.478,-1.383,0.005,-0.394,-1.165,-1.225,-1.387,-1.451,-1.45,-1.36,-0.767,-0.929,-2.593,-1.911
premature for both the refugees and Korean people to accept,70,2,1,0,0,0,0,70,2,3,0,0,0,0,-1.281,-0.99,-1.432,-1.249,0.382,-0.511,-0.661,-1.108,-1.587,-1.515,-1.387,-1.378,-0.23,-0.634,-2.143,-1.911
each other for example Yemen is in the Middle East so it's,75,2,1,0,0,0,0,75,2,3,0,0,0,0,-1.136,-1.392,-1.532,-1.336,0.179,-0.532,-0.562,-1.426,-1.638,-1.552,-1.584,-1.427,-1.024,-1.14,-2.765,-1.901
to the culture and like the food in general is different from Korea so,80,1,1,0,0,0,0,80,1,3,0,0,0,0,-1.548,-1.349,-1.464,-1.283,-0.385,-0.902,-1.768,-1.311,-1.348,-1.454,-1.334,-1.276,-0.181,-0.532,-2.385,-1.972
for the Koreans it's hard to understand them and also,85,1,1,0,0,0,0,85,1,3,0,0,0,0,-1.377,-0.71,-1.444,-1.275,0.399,-0.401,0.289,-1.328,-1.475,-1.526,-1.548,-1.375,-0.807,-0.937,-1.89,-1.842
for the young man is will be quite hard to settle down in Korea so yeah I didn't,90,1,1,0,0,0,0,90,1,3,0,0,0,0,-0.36,-0.976,-1.297,-0.612,1.726,0.922,2.028,0.67,-1.462,-1.321,-1.345,-1.217,-0.384,-0.814,-1.36,-1.535
think there is responsibility for Korea to Lieutenant,95,2,2,0,0,0,0,95,1,3,0,0,0,0,-1.484,-0.792,-1.347,-1.256,1.369,-0.339,0.801,-0.748,-1.189,-1.537,-1.404,-1.224,-0.155,-0.892,-2.197,-1.802
okay Point she said that they are abusing the law but the question of the debate is whether Korea should,100,2,2,0,0,0,0,100,1,2,0,0,0,0,-1.078,-0.97,-1.382,-1.237,0.403,0.1,-0.143,-1.233,-1.398,-1.472,-1.383,-1.279,-0.534,-0.902,-0.913,-1.404
accept the refugees and therefore the law is not the issue if they're abusing the law we can change the law,105,2,2,0,0,0,0,105,1,2,0,0,0,0,-1.437,-0.803,-1.373,-1.275,0.731,-0.417,-0.254,-1.32,-1.524,-1.154,-1.428,-1.334,-0.545,-1.104,-1.387,-1.761
so that they can stay in more legally without using the sides,110,2,2,0,0,0,0,110,1,2,0,0,1,0,-1.324,-0.997,-1.479,-1.232,-0.201,-0.541,-1.411,-1.408,-0.988,-1.289,-1.289,-1.077,-0.29,-0.26,-0.257,-0.872
gates in the law and the second you said that Koreans and Muslims are so different that it's it's not realistic that they live together,115,2,2,0,0,0,0,115,1,2,0,0,1,0,-1.086,-1.103,-1.501,-1.397,-0.018,-0.323,-0.459,-1.734,-1.212,-0.638,-0.99,-1.125,-0.406,-0.572,-0.262,-1.287
but we have seen many cases in history like Germany and France everything,120,2,3,0,0,0,0,120,1,2,0,0,1,0,-1.176,-1.34,-1.497,-1.392,0.531,-0.35,-0.764,-1.694,-1.338,-1.504,-1.158,-1.253,-0.261,-0.371,-1.096,-1.604
thousands of refugees and they have done,125,2,3,0,0,0,0,125,1,2,0,0,1,0,-1.624,-1.571,-1.534,-1.38,-0.289,-0.829,-1.668,-1.647,-1.327,-1.252,-1.464,-1.289,-0.535,-0.705,-0.383,-1.667
well and in contrast Korea is only old as Korea,130,2,3,0,0,0,0,130,1,2,0,0,1,0,-1.641,-1.545,-1.414,-1.393,-0.234,-0.885,-2.55,-1.75,-0.985,-0.338,-1.112,-0.765,0.557,1.122,-0.117,-0.392
only has to accept like 550 refugees which is a very small portion compared to what,135,2,3,0,0,0,0,135,2,2,0,0,0,0,-1.292,-1.211,-1.316,-1.266,0.551,-0.332,-0.192,-1.569,-0.903,-0.861,-1.25,-1.189,-0.245,-0.401,0.146,-1.866
countries like Germany and France are doing and he said that Muslims,140,2,3,0,0,0,0,140,2,2,0,0,0,0,-1.259,-0.713,-1.419,-1.331,0.122,-0.758,-0.8,-1.464,-0.941,-0.826,-0.983,-1.137,0.868,0.127,0.163,-0.006
will have difficulties settling in Korea but they don't have any choices they chose Korea,145,2,3,0,0,0,0,145,2,2,0,0,0,0,-1.493,-1.403,-1.565,-1.405,-0.181,-0.832,-2.472,-1.831,-0.911,0.886,-1.083,-1.041,0.982,1.004,1.024,-0.633
because at least it's better than staying in their home country,150,2,3,0,0,0,0,150,2,2,0,0,0,0,-1.582,-1.468,-1.493,-1.339,-0.365,-0.872,-1.203,-1.776,-1.073,-1.172,-1.263,-1.146,0.292,0.146,0.737,-1.109
so I think the refugees don't have a choice,155,2,3,0,0,0,0,155,2,2,0,0,0,0,-1.601,-1.377,-1.34,-1.398,0.053,-0.367,-1.166,-1.284,-1.046,-1.128,-0.636,-0.986,0.113,-0.114,-0.754,-1.212
and it's it's rather an obligation that they stayed here,160,2,3,0,0,0,0,160,2,2,0,0,0,0,-1.372,-1.144,-1.436,-1.369,-0.252,-0.181,-0.301,-1.117,-1.491,-1.215,-1.329,-1.29,-0.478,-0.659,-0.617,-1.405
so for the first point of argument is that,165,2,3,0,0,0,0,165,2,2,0,0,0,0,-1.289,-1.381,-1.435,-1.316,-0.006,-0.515,0.248,-1.583,-1.454,-1.526,-1.498,-1.344,-0.839,-0.999,-1.171,-1.855
they are abusing the law and so there was a petition to the blue house,170,2,3,0,0,0,0,170,2,2,0,0,0,0,-1.395,-1.144,-1.297,-1.243,0.564,-0.402,-1.807,-1.317,-1.325,-1.032,-1.383,-1.272,-0.374,-0.831,-0.15,-1.449
where the people were like change the law to not,175,2,3,0,0,0,0,175,2,2,0,0,0,0,-1.349,-1.038,-1.388,-1.35,0.035,-0.68,-0.999,-1.337,-0.91,-1.31,-0.9,-1.175,0.834,0.085,-0.372,-1.133
not let the Immigrant in and so what the government did was to change the law and excluded,180,1,2,0,0,1,0,180,2,2,0,0,0,0,-1.107,-1.164,-1.158,-1.242,1.071,0.339,0.428,-1.26,-0.695,-1.041,-0.937,-1.078,0.196,0.04,-0.74,-0.244
your man from Visa free program so from now on except for the 550,185,2,2,0,0,1,0,185,2,2,0,0,0,0,-0.997,-0.82,-1.035,-0.613,2.164,0.762,0.873,-0.114,-1.409,-1.418,-1.371,-1.264,-0.396,-0.508,-2.021,-1.9
people who are all already inside the Jeju Island o Maryam and people,190,1,2,0,0,1,0,190,2,2,0,0,0,0,-0.639,-0.831,-1.101,-1,1.549,1.367,0.12,0.272,-1.32,-1.491,-1.414,-1.279,-0.7,-0.845,-2.743,-1.901
can come in so from now on it illegal and second,195,1,2,0,0,1,0,195,2,2,0,0,0,0,-0.451,0.283,-0.963,-0.845,4.14,2.005,0.595,-0.397,-1.542,-1.572,-1.4,-1.36,-0.781,-0.937,-2.796,-1.994
difference Germany and yeah I think they should let the immigrants in,200,1,2,0,0,1,0,200,2,2,0,0,0,0,-0.192,-0.645,-1.027,-0.813,2.619,0.75,1.455,-0.229,-1.319,-1.249,-1.262,-1.172,-0.597,-0.671,-1.583,-1.576
because let me think about all those crises originated from is from,205,2,2,0,0,1,0,205,1,2,0,0,0,0,-1.644,-1.338,-1.527,-1.301,0.071,-0.534,-1.214,-1.758,-1.247,-1.296,-1.31,-0.919,-0.119,-0.191,-1.21,-1.681
the colonial period when the European countries invaded Africa and,210,2,2,0,0,1,0,210,2,2,0,0,0,0,-1.138,-0.964,-1.438,-1.078,0.282,0.381,-0.563,-0.966,-1.588,-1.527,-1.462,-1.374,-1.005,-0.903,-2.786,-2.023
set the ruler rulers in their own taste so they have like historical responsibilities,215,1,2,0,0,1,0,215,2,2,0,0,0,0,0.107,0.923,-1.3,-1.117,3.254,1.779,1.621,1.445,-1.613,-1.556,-1.37,-1.379,-0.177,-0.865,-2.479,-1.975
to let immigrants in but for example Korea don't have any kind of those connections,220,2,2,0,0,1,0,220,2,3,0,0,0,0,-1.484,-1.206,-1.503,-1.193,0.399,-0.097,-0.919,-1.686,-1.481,-1.356,-1.455,-1.379,-0.517,-1.012,-2.778,-1.802
to military Middle East Country so yeah I don't think there is,225,2,2,0,0,0,0,225,2,3,0,0,0,0,-1.08,-0.497,-1.118,-1.124,0.916,0.204,0.701,-0.433,-1.194,-1.141,-1.304,-1.285,-0.547,-0.599,-2.369,-1.738
I think rather than Korea maybe European countries who,230,1,2,0,0,0,0,230,2,3,0,0,0,0,-1.171,-0.289,-1.236,-1.236,2.117,0.258,-1.632,-1.393,-1.079,-1.273,-1.278,-1.249,0.083,-0.393,-1.979,-1.567
created all those meth should let those immigrants thing right,235,1,2,0,0,0,0,235,2,3,0,0,0,0,-1.472,-1.221,-1.445,-1.341,-0.07,-0.616,-1.847,-1.763,-1.389,-1.305,-1.515,-1.334,-0.773,-0.677,0.596,-1.69
you said that the law makes the refugees movements illegal but,240,1,2,0,0,0,0,240,2,3,0,0,0,0,-1.434,-1.421,-1.544,-1.42,-0.618,-1.073,-2.593,-1.549,-1.375,-1.501,-1.441,-1.297,-0.544,-0.897,-1.461,-1.326
the question of the debate is whether that should be legal or illegal so whether the laws are illegal,245,2,2,0,0,0,0,245,2,3,0,0,0,0,-1.669,-1.487,-1.59,-1.366,-0.761,-1.167,-2.384,-1.947,-1.393,-0.756,-1.323,-1.265,-0.174,-0.625,-1.609,-1.058
right now is irrelevant from this debate because that's what we are deciding right now whether we should change the laws so that,250,1,2,0,0,0,0,250,2,3,0,0,0,0,-1.634,-1.5,-1.54,-1.43,-0.811,-0.91,-2.559,-1.904,-1.341,-1.131,-1.406,-1.133,-0.318,-0.432,-0.291,-1.413
refugees should be accepted into Korea and the second you said that,255,2,2,0,0,0,0,255,2,3,0,0,0,0,-1.646,-1.548,-1.56,-1.439,-0.636,-1.067,-2.624,-1.938,-1.102,-0.83,-1.06,-1.035,-0.439,-0.188,0.11,-1.562
France and Germany are different because they have historic ties to the Muslim countries,260,2,2,0,0,1,0,260,2,2,0,0,0,0,-1.688,-1.516,-1.585,-1.423,-0.901,-1.268,-2.727,-1.815,-1.274,-1.015,-1.375,-1.076,-0.154,-0.746,-0.172,-1.214
but but Korea also part,265,2,2,0,0,1,0,265,2,2,0,0,0,0,-1.695,-1.474,-1.566,-1.34,-0.907,-1.078,-2.517,-1.828,-1.359,-1.121,-1.369,-1.267,-0.413,-0.781,-0.521,-1.405
of the United Nations has signed at the convention so they also have the international obligation,270,2,2,0,0,1,0,270,2,2,0,0,0,0,-1.645,-1.587,-1.612,-1.452,-1.078,-1.293,-2.849,-2.043,-1.265,-0.996,-1.329,-1.231,-0.512,-0.035,-0.13,-1.344
to accept refugees when there is a crisis and also,275,2,2,0,0,1,0,275,2,2,0,0,0,0,-1.562,-1.389,-1.544,-1.434,-1.072,-1.133,-1.57,-1.944,-0.373,-0.785,-1.112,-1.161,0.576,-0.156,-0.687,-1.246
German is certainly not accepting the refugees because they have historical responsibilities,280,2,2,0,0,1,0,280,2,2,0,0,0,0,-1.626,-1.572,-1.575,-1.376,-0.303,-1.114,-2.301,-1.908,-1.432,-1.161,-1.041,-1.206,0.755,0.27,0.554,-0.796
to Syrian refugees sexually though relationship is very weak between Syria and,285,2,2,0,0,1,0,285,2,2,0,0,0,0,-1.528,-1.217,-1.52,-1.398,-0.727,-0.938,-1.571,-1.772,-1.205,-1.022,-1.19,-1.165,0.364,-0.411,-0.542,-1.009
Germany it's not like Germany and Israel and so but they are accepting the refugees,290,2,2,0,0,1,0,290,2,2,0,0,0,0,-1.721,-1.558,-1.645,-1.453,-1.189,-1.323,-2.636,-1.993,-0.69,0.123,-0.752,-0.118,1.871,1.431,-1.013,-0.204
because that's the that's the so it's that's the sort of behavior,295,2,2,0,0,1,0,295,2,2,0,0,0,0,-1.504,-0.419,-1.289,-1.17,-0.261,-0.766,-0.655,-0.598,-1.034,-1.24,-1.381,-1.265,-0.51,-0.463,0.794,-1.509
they must show as a developed country and Korea to is a developed country and it,300,2,2,0,0,1,0,300,2,2,0,0,0,0,-1.427,-1.409,-1.386,-1.298,0.612,-0.613,-1.14,-1.706,-0.013,-0.91,-0.96,-0.711,0.255,0.421,0.697,-0.232
is very capable of accepting 550 refugees when countries like France and Germany are accepting,305,2,2,0,0,1,0,305,2,2,0,0,0,0,-1.602,-1.332,-1.433,-1.321,-0.203,-0.381,0.489,-1.573,-0.664,-1.33,-0.843,-1.055,-0.315,0.455,-1.332,-1.744
"100,000 refugees every year so I think refugees",310,2,2,0,0,1,0,310,2,2,0,0,0,0,-0.945,-1.015,-1.372,-1.159,1.805,0.197,1.089,-0.99,-0.927,-0.915,-1.194,-1.043,0.664,0.102,0.575,-0.578
should be learning so although they're like 550 people if you,315,2,2,0,0,0,0,315,2,2,0,0,0,0,-1.552,-1.46,-1.488,-1.322,-0.544,-0.583,-1.084,-1.746,-0.76,-1.147,-1.136,-1.114,-0.257,-0.402,-1.857,-1.59
make exceptions for those if Yemen crisis,320,2,2,0,0,0,0,320,2,2,0,0,0,0,-1.028,-1.048,-1.327,-1.139,1.434,-0.4,0.267,-0.818,-1.242,-1.308,-1.219,-1.332,0.022,-0.356,-1.905,-1.687
that will fertile lead into other immigrants in the future which might probably more,325,2,2,0,0,0,0,325,2,2,0,0,0,0,-1.102,-1.283,-1.299,-1.329,0.11,-0.8,0.088,-1.61,-1.222,-1.351,-1.429,-1.338,-0.719,-0.675,-2.907,-1.927
and more that's what that's how the European immigrant crisis started and,330,2,2,0,0,0,0,330,2,2,0,0,0,0,-0.807,-1.253,-1.477,-1.355,0.42,0.134,-0.819,-1.633,-1.438,-1.499,-1.158,-1.301,-0.272,0.225,-2.369,-1.812
also lots of European countries and lots of European countries most of,335,3,2,0,0,1,0,335,2,2,0,0,0,0,-1.386,-0.958,-1.391,-1.282,1.723,-0.432,0.139,-0.323,-1.097,-1.322,-1.345,-1.283,-0.276,-0.045,-1.981,-1.665
most of the students are against the refugee because cauldrons bit different and they cause like,340,3,2,0,0,1,0,340,2,2,0,0,0,0,-1.562,-0.959,-1.538,-1.311,-0.123,-0.332,-0.309,-1.56,-1.128,-1.077,-1.054,-1.255,0.566,0.133,-0.462,-1.279
social confusion so I think those kind of confusion will be even much,345,3,2,0,0,1,0,345,3,2,0,0,1,0,0.084,2.139,-1.017,-0.527,3.367,2.596,-0.159,0.735,-1.35,-1.342,-1.281,-1.274,-0.487,-0.317,-2.345,-1.916
larger in Korea because the culture itself is,350,2,2,0,0,1,0,350,3,2,0,0,1,0,-1.503,-1.058,-0.938,-0.918,0.869,1.767,-0.459,-0.984,-1.186,-1.125,-1.353,-1.279,0.161,0.566,-0.041,-1.432
two different and also although there is no like confirmation,355,2,2,0,0,1,0,355,2,2,0,0,0,0,-1.16,-1.232,-1.4,-1.195,0.745,0.66,0.533,-1.265,-1.023,-1.026,-1.155,-1.059,-0.115,-0.369,-0.887,-1.329
that they actually create like a crime the people in Jeju,360,2,2,0,0,0,0,360,2,2,0,0,0,0,-0.792,-0.02,-1.258,-1.18,1.243,0.628,-0.629,-0.765,-1.423,-1.312,-1.423,-1.362,-0.736,-0.299,-2.369,-1.934
Island feel like with anger from them even one of my friends who's from Georgia Island always,365,2,2,0,0,0,0,365,2,2,0,0,0,0,-1.138,-0.915,-1.356,-1.255,0.198,-0.519,0.02,-0.564,-1.485,-1.485,-1.555,-1.323,-0.908,-1.032,-2.142,-1.86
talks about about that thing and she sometimes though them and she doesn't want to see,370,2,2,0,0,0,0,370,2,2,0,0,0,0,-1.289,-0.929,-1.528,-1.331,-0.363,-0.167,-0.696,-1.654,-1.469,-1.402,-1.485,-1.389,-0.244,-0.913,-2.474,-1.767
those people there so yeah I think it's for,375,2,2,0,0,0,0,375,2,2,0,0,0,0,-1.439,-1.393,-1.415,-1.358,-0.321,-0.679,-1.307,-1.745,-1.559,-1.495,-1.467,-1.351,-0.861,-1.071,-2.449,-1.815
the for the Yemen people yeah it is TRUE that,380,3,2,0,0,0,0,380,2,2,0,0,0,0,-1.608,-1.21,-1.256,-1.322,1.264,0.102,-1.125,-1.454,-1.609,-1.578,-1.487,-1.409,-0.89,-0.997,-2.178,-1.966
we should take care of them for a while but after the crisis settle down they,385,2,3,0,0,0,0,385,2,2,0,0,0,0,-1.557,-1.442,-1.478,-1.305,-0.677,-0.86,-2.363,-1.667,-1.385,-1.186,-1.355,-0.98,-0.237,-0.459,-1.194,-1.483
should go back but I'm not sure whether they will try to stake in Korea even further because,390,2,3,0,0,0,0,390,2,2,0,0,0,0,-1.616,-1.579,-1.418,-1.251,-0.457,-0.762,-1.766,-1.887,-1.247,-1.324,-1.282,-1.117,0.395,-0.57,-1.14,-1.074
it is developed country yes I'm bit confused about that,395,1,3,0,0,0,0,395,2,3,0,0,0,0,-1.499,-1.44,-1.475,-1.319,-0.528,-0.897,-1.958,-1.843,-1.464,-1.519,-1.417,-1.266,-0.55,-0.723,-1.687,-1.674
well you have said that French,400,1,3,0,0,0,0,400,2,3,0,0,0,0,-1.266,-1.348,-1.53,-1.264,-0.308,-0.708,-0.288,-1.579,-1.553,-1.129,-1.257,-1.101,0.826,-0.265,-1.594,-1.295
and German people are against a refugees movements and that's because there are so,405,1,3,0,0,0,0,405,2,3,0,0,0,0,-0.589,-1.233,-1.324,-1.129,1.027,0.294,-0.05,-0.159,-1.161,-0.64,-0.939,-1.081,0.605,0.635,0.613,-0.453
"many refugees moving into those countries every year it's about 100,000 refugees were talking",410,2,3,0,0,0,0,410,2,3,0,0,0,0,-1.157,-1.143,-1.13,-1.154,0.918,-0.128,-0.713,-1.087,-0.991,-0.779,-0.73,-0.987,1.724,1.158,0.747,-0.56
about for European cases but for a career it's less than thousand and and I believe,415,2,3,0,0,0,0,415,2,3,0,0,0,0,-1.132,-1.203,-1.536,-1.287,-0.548,-0.645,-1.191,-1.4,-1.371,-1.253,-1.355,-1.028,-0.508,-0.438,-0.43,-1.238
they fact of the refugees on Korean Society is much smaller compared to the effect,420,1,3,0,0,0,0,420,2,3,0,0,0,0,-1.509,-1.126,-1.417,-1.323,0.422,-0.568,0.461,-1.394,0.34,-0.523,-0.39,-0.695,1.022,1.243,1.539,-0.396
that the refugees are bringing on to the European societies and therefore the and objection will be,425,2,3,0,0,0,0,425,2,3,0,0,0,0,-0.586,-1.246,-1.268,-1.135,-0.041,-0.411,-0.346,-0.936,-0.806,-1.047,-1.178,-0.935,0.154,-0.285,-1.342,-1.154
lower as well and also we have to know that,430,2,3,0,0,0,0,430,2,2,0,0,1,0,-1.372,-0.709,-0.879,-0.491,0.451,0.109,0.159,-0.733,-0.217,-0.532,-0.447,-0.52,1.064,1.16,1.286,0.277
the judge island is a special case because once the refugees moving to the judge Island their economic activities,435,2,3,0,0,0,0,435,2,2,0,0,1,0,-1.03,-0.533,-1.23,-1.154,0.452,-0.152,0.941,-1.319,-1.024,-0.282,-0.881,-0.4,0.773,0.741,0.132,1.065
will be limited to those in Jeju Island it will not affect the most,440,2,3,0,0,0,0,440,2,2,0,0,1,0,-1.493,-1.369,-1.533,-1.345,-0.749,-0.801,-0.79,-1.427,-0.828,-0.26,-0.529,-0.882,3.449,1.564,0.905,-0.133
part of Korea and certainly we can therefore conclude that the effect of refugees and Korean,445,2,3,0,0,0,0,445,2,2,0,0,1,0,-0.256,-0.327,-1.292,-1.111,1.418,1.01,0.112,-0.178,-1.009,-1.109,-1.321,-1.193,-0.387,-0.571,-0.055,-0.765
societies very low and therefore all these objections against the refugees,450,2,3,0,0,0,0,450,2,2,0,0,1,0,-1.566,-1.471,-1.559,-1.417,-0.79,-1.044,-1.767,-1.779,-1.016,-0.892,-1.175,-1.17,0.385,1.167,-0.835,-1.509
are very exaggerated with they are based,455,2,3,0,0,0,0,455,2,2,0,0,1,0,-0.943,-0.798,-1.482,-1.307,-0.264,-0.929,-0.677,-1.62,-1.302,-0.992,-1.344,-1.184,0.413,0.071,-0.821,-1.771
on baseless misconceptions that we Muslims are potential terrorists,460,2,3,0,0,0,0,460,2,2,0,0,1,0,-1.153,-0.999,-1.305,-1.174,0.935,0.671,-0.167,-0.604,-1.654,-1.528,-1.541,-1.406,-0.873,-0.924,-2.802,-1.916
criminals and Korea now has to move from a society where these,465,2,3,0,0,0,0,465,2,2,0,0,1,0,-1.433,-1.314,-1.511,-1.306,0.09,-0.938,-1.539,-1.441,-0.873,-0.953,-1.163,-1.122,0.036,-0.23,-1.901,-1.903
misconceptions should no longer have effect on people's minds,470,2,3,0,0,0,0,470,2,2,0,0,1,0,-0.536,-0.027,-0.746,-0.456,4.96,0.437,0.35,-0.49,-1.194,-1.299,-1.278,-1.254,0.497,-0.104,-1.51,-1.481
okay so my think about that is that they're not,475,2,3,0,0,0,0,475,2,2,0,0,1,0,-0.343,-0.676,-0.884,-0.676,3.453,2.581,1.298,0.827,-1.221,-1.268,-1.292,-1.208,0.386,-0.167,-2.503,-1.625
limited to Jeju Island the Muslim people well actually there was a news report by Korean news agency,480,2,3,0,0,0,0,480,2,2,0,0,1,0,-0.933,-1.225,-1.358,-1.176,0.536,0.049,0.535,-1.243,-1.561,-1.371,-1.428,-1.301,-0.434,-0.531,-2.551,-1.794
that there was a Facebook group consisted of like 150 Yemen,485,2,3,0,0,0,0,485,2,2,0,0,1,0,-1.255,-0.524,-1.107,-1.159,0.994,0.25,2.114,-1.077,-0.748,-0.851,-1.345,-1.284,1.007,-0.003,-1.516,-1.369
man and five Koreans were five Korean people were brokers who,490,2,2,0,0,0,0,490,2,2,0,0,0,0,-1.349,-1.347,-1.409,-1.332,-0.408,-0.51,-0.41,-1.478,-1.647,-1.439,-1.568,-1.384,-0.801,-0.924,-2.584,-2.035
made like a ship that led the German people moved to the Korean Mainland,495,2,2,0,0,0,0,495,2,2,0,0,0,0,-1.006,-0.746,-0.924,-1.179,0.481,0.134,0.62,-1.066,-1.564,-1.543,-1.469,-1.35,-0.53,-0.822,-2.572,-1.641
because at first the judges City whole tried to give and when people drop,500,2,2,0,0,0,0,500,2,2,0,0,0,0,-0.365,-0.51,-1.381,-1.187,0.489,-0.203,-0.8,-0.928,-1.547,-1.302,-1.41,-1.338,-0.248,-0.634,-1.56,-1.734
to the like the fisherman Tom to help the features catch the fish in the sea,505,2,2,0,0,0,0,505,2,2,0,0,0,0,-1.435,-0.882,-1.433,-1.11,0.681,0.127,-0.427,-1.388,-1.562,-1.344,-1.346,-1.366,-0.394,-0.184,-2.812,-1.95
but they re they yeah at first they tried to do this job but they insisted that the,510,2,2,0,0,0,0,510,2,2,0,0,0,0,-0.897,-1.29,-1.373,-1.322,0.928,-0.059,-2,-1.371,-1.467,-1.566,-1.485,-1.375,-0.627,-0.992,-1.735,-1.971
wage is too low and they made a Facebook group and some of them actually went to Korea,515,2,2,0,0,0,0,515,2,3,1,0,0,0,-1.184,-1.281,-1.209,-1.174,1.202,0.164,-0.656,-1.161,-1.573,-1.499,-1.381,-1.336,-0.512,-0.587,-2.325,-1.627
Mainland and was on the news report so I don't think there will be confined to the Jesuit,520,2,3,0,0,0,0,520,2,3,1,0,0,0,-1.407,-1.226,-1.503,-1.311,-0.365,-0.797,-0.906,-1.463,-1.437,-1.476,-1.308,-1.141,-0.014,-0.444,-0.194,-1.582
Island and also although Korea is a default developed,525,2,3,0,0,0,0,525,2,3,1,0,0,0,-1.44,-1.263,-1.461,-1.361,-0.562,-0.954,-2.473,-1.701,-1.362,-1.495,-1.415,-1.219,-0.526,-0.922,-2.405,-1.595
country in well well defined,530,2,3,0,0,0,0,530,2,3,1,0,0,0,-1.244,-1.041,-1.558,-1.306,-0.312,-0.904,-0.146,-1.603,-1.297,-0.85,-1.423,-1.231,-0.143,-0.182,-1.154,-1.31
term I don't think it is developed country it is somewhere between the developing,535,2,2,0,0,1,0,535,2,3,1,0,0,0,-1.437,-1.2,-1.192,-1.128,0.11,0.424,-1.17,-1.115,-1.602,-1.022,-1.25,-1.242,0.504,-0.263,-0.258,-0.872
and developed country like there is like almost a double-double,540,2,2,0,0,1,0,540,2,3,1,0,0,0,-1.369,-1.106,-1.022,-1.22,1.004,0.387,-1.482,-1.036,-1.297,-0.767,-0.976,-0.93,0.372,0.036,-1.289,-1.298
difference of an income for those European countries or United States so,545,2,2,0,0,1,0,545,1,2,0,0,0,0,-1.576,-1.212,-1.486,-1.37,0.018,-0.367,-0.846,-1.031,-1.46,-1.312,-1.393,-1.337,-0.179,-0.75,-1.234,-1.811
yeah I don't I don't think there's enough Wells for Korean government to support,550,2,2,0,0,1,0,550,2,2,0,0,0,0,-0.981,-0.932,-1.267,-1.101,1.061,0.078,0.626,-0.979,-1.523,-1.324,-1.399,-1.226,-0.047,-0.2,-2.805,-1.844
the future immigration but would you agree that at least Korea is more developed,555,2,2,0,0,1,0,555,2,2,0,0,0,0,-1.473,-1.103,-1.479,-1.291,0.044,-0.453,-1.37,-1.094,-1.38,-1.384,-1.306,-1.277,-0.625,-0.882,-2.101,-1.331
